sentence,place
I'm walking to the Mountain,Mountain
I'm walking to the Lake,Lake
I'm walking to the River,River
I'm walking to the Forest,Forest
I'm walking to the Jungle,Jungle
I'm walking to the Desert,Desert
I'm walking to the Countryside,Countryside
I'm walking to the City,City
I'm walking to the Suburb,Suburb
I'm walking to the Village,Village
I'm walking to the Town,Town
I'm walking to the Island,Island
I'm walking to the Skyscraper,Skyscraper
I'm walking to the Cinema,Cinema
I'm walking to the Bookstore,Bookstore
I'm walking to the Factory,Factory
I'm walking to the Workshop,Workshop
I'm walking to the Studio,Studio
I'm walking to the Garden,Garden
I'm walking to the Orchard,Orchard
I'm walking to the Vineyard,Vineyard
I'm walking to the Cemetery,Cemetery
I'm walking to the Castle,Castle
I'm walking to the Historical site,Historical site
I'm walking to the Cave,Cave
I'm walking to the Lighthouse,Lighthouse
I'm walking to the Waterfall,Waterfall
I'm walking to the Cruise ship,Cruise ship
I'm walking to the Train station,Train station
I'm walking to the Airport,Airport
I'm walking to the Space station,Space station
I'm walking to the Underground,Underground
I'm walking to the Planetarium,Planetarium
I'm walking to the Carnival,Carnival
I'm walking to the Circus,Circus
I'm walking to the Wildlife sanctuary,Wildlife sanctuary
I'm walking to the Aquarium,Aquarium
I'm walking to the Botanical garden,Botanical garden
I'm walking to the Coffee shop,Coffee shop
I'm walking to the Tea house,Tea house
I'm walking to the Ice cream parlor,Ice cream parlor
I'm walking to the Bakery,Bakery
I'm walking to the Farmers' market,Farmers' market
I'm walking to the Campground,Campground
I'm walking to the Campsite,Campsite
I'm walking to the Ski resort,Ski resort
I'm walking to the Beach resort,Beach resort
I'm walking to the Safari park,Safari park
I'm walking to the Sculpture park,Sculpture park
I'm walking to the University,University
I'm walking to the College,College
I'm walking to the Kindergarten,Kindergarten
I'm walking to the Daycare,Daycare
I'm walking to the Factory,Factory
I'm walking to the Lab,Lab
I'm walking to the Radio station,Radio station
I'm walking to the Television studio,Television studio
I'm walking to the Office building,Office building
I'm walking to the Observatory,Observatory
I'm walking to the Underwater cave,Underwater cave
I'm walking to the Haunted house,Haunted house
I'm walking to the Winery,Winery
I'm walking to the Microbrewery,Microbrewery
I'm walking to the Planet,Planet
I'm walking to the Moon,Moon
I'm walking to the Sun,Sun
I'm walking to the Jupiter,Jupiter
I'm walking to the Forest,Forest
I'm walking to the Cabin,Cabin
I'm walking to the Rainforest,Rainforest
I'm walking to the Jungle,Jungle
I'm walking to the Wetland,Wetland
I'm walking to the Volcano,Volcano
I'm venturing to the Park,Park
I'm venturing to the Beach,Beach
I'm venturing to the Library,Library
I'm venturing to the Museum,Museum
I'm venturing to the Restaurant,Restaurant
I'm venturing to the Cafe,Cafe
I'm venturing to the Movie theater,Movie theater
I'm venturing to the Shopping mall,Shopping mall
I'm venturing to the Gym,Gym
I'm venturing to the School,School
I'm venturing to the Office,Office
I'm venturing to the Zoo,Zoo
I'm venturing to the Concert hall,Concert hall
I'm venturing to the Art gallery,Art gallery
I'm venturing to the Stadium,Stadium
I'm venturing to the Hospital,Hospital
I'm venturing to the Farm,Farm
I'm venturing to the Farm market,Farm market
I'm venturing to the Amusement park,Amusement park
I'm venturing to the Spa,Spa
I'm venturing to the Mountain,Mountain
I'm venturing to the Lake,Lake
I'm venturing to the River,River
I'm venturing to the Forest,Forest
I'm venturing to the Jungle,Jungle
I'm venturing to the Desert,Desert
I'm venturing to the Countryside,Countryside
I'm venturing to the City,City
I'm venturing to the Suburb,Suburb
I'm venturing to the Village,Village
I'm venturing to the Town,Town
I'm venturing to the Island,Island
I'm venturing to the Skyscraper,Skyscraper
I'm venturing to the Cinema,Cinema
I'm venturing to the Bookstore,Bookstore
I'm venturing to the Factory,Factory
I'm venturing to the Workshop,Workshop
I'm venturing to the Studio,Studio
I'm venturing to the Garden,Garden
I'm venturing to the Orchard,Orchard
I'm venturing to the Vineyard,Vineyard
I'm venturing to the Cemetery,Cemetery
I'm venturing to the Castle,Castle
I'm venturing to the Historical site,Historical site
I'm venturing to the Cave,Cave
I'm venturing to the Lighthouse,Lighthouse
I'm venturing to the Waterfall,Waterfall
I'm venturing to the Cruise ship,Cruise ship
I'm venturing to the Train station,Train station
I'm venturing to the Airport,Airport
I'm venturing to the Space station,Space station
I'm venturing to the Underground,Underground
I'm venturing to the Planetarium,Planetarium
I'm venturing to the Carnival,Carnival
I'm venturing to the Circus,Circus
I'm venturing to the Wildlife sanctuary,Wildlife sanctuary
I'm venturing to the Aquarium,Aquarium
I'm venturing to the Botanical garden,Botanical garden
I'm venturing to the Coffee shop,Coffee shop
I'm venturing to the Tea house,Tea house
I'm venturing to the Ice cream parlor,Ice cream parlor
I'm venturing to the Bakery,Bakery
I'm venturing to the Farmers' market,Farmers' market
I'm venturing to the Campground,Campground
I'm venturing to the Campsite,Campsite
I'm venturing to the Ski resort,Ski resort
I'm venturing to the Beach resort,Beach resort
I'm venturing to the Safari park,Safari park
I'm venturing to the Sculpture park,Sculpture park
I'm venturing to the University,University
I'm venturing to the College,College
I'm venturing to the Kindergarten,Kindergarten
I'm venturing to the Daycare,Daycare
I'm venturing to the Factory,Factory
I'm venturing to the Lab,Lab
I'm venturing to the Radio station,Radio station
I'm venturing to the Television studio,Television studio
I'm venturing to the Office building,Office building
I'm venturing to the Observatory,Observatory
I'm venturing to the Underwater cave,Underwater cave
I'm venturing to the Haunted house,Haunted house
I'm venturing to the Winery,Winery
I'm venturing to the Microbrewery,Microbrewery
I'm venturing to the Planet,Planet
I'm venturing to the Moon,Moon
I'm venturing to the Sun,Sun
I'm venturing to the Jupiter,Jupiter
I'm venturing to the Forest,Forest
I'm venturing to the Cabin,Cabin
I'm venturing to the Rainforest,Rainforest
I'm venturing to the Jungle,Jungle
I'm venturing to the Wetland,Wetland
I'm venturing to the Volcano,Volcano
I'm strolling to the Park,Park
I'm strolling to the Beach,Beach
I'm strolling to the Library,Library
I'm strolling to the Museum,Museum
I'm strolling to the Restaurant,Restaurant
I'm strolling to the Cafe,Cafe
I'm strolling to the Movie theater,Movie theater
I'm strolling to the Shopping mall,Shopping mall
I'm strolling to the Gym,Gym
I'm strolling to the School,School
I'm strolling to the Office,Office
I'm strolling to the Zoo,Zoo
I'm strolling to the Concert hall,Concert hall
I'm strolling to the Art gallery,Art gallery
I'm strolling to the Stadium,Stadium
I'm strolling to the Hospital,Hospital
I'm strolling to the Farm,Farm
I'm strolling to the Farm market,Farm market
I'm strolling to the Amusement park,Amusement park
I'm strolling to the Spa,Spa
I'm strolling to the Mountain,Mountain
I'm strolling to the Lake,Lake
I'm strolling to the River,River
I'm strolling to the Forest,Forest
I'm strolling to the Jungle,Jungle
I'm strolling to the Desert,Desert
I'm strolling to the Countryside,Countryside
I'm strolling to the City,City
I'm strolling to the Suburb,Suburb
I'm strolling to the Village,Village
I'm strolling to the Town,Town
I'm strolling to the Island,Island
I'm strolling to the Skyscraper,Skyscraper
I'm strolling to the Cinema,Cinema
I'm strolling to the Bookstore,Bookstore
I'm strolling to the Factory,Factory
I'm strolling to the Workshop,Workshop
I'm strolling to the Studio,Studio
I'm strolling to the Garden,Garden
I'm strolling to the Orchard,Orchard
I'm strolling to the Vineyard,Vineyard
I'm strolling to the Cemetery,Cemetery
I'm strolling to the Castle,Castle
I'm strolling to the Historical site,Historical site
I'm strolling to the Cave,Cave
I'm strolling to the Lighthouse,Lighthouse
I'm strolling to the Waterfall,Waterfall
I'm strolling to the Cruise ship,Cruise ship
I'm strolling to the Train station,Train station
I'm strolling to the Airport,Airport
I'm strolling to the Space station,Space station
I'm strolling to the Underground,Underground
I'm strolling to the Planetarium,Planetarium
I'm strolling to the Carnival,Carnival
I'm strolling to the Circus,Circus
I'm strolling to the Wildlife sanctuary,Wildlife sanctuary
I'm strolling to the Aquarium,Aquarium
I'm strolling to the Botanical garden,Botanical garden
I'm strolling to the Coffee shop,Coffee shop
I'm strolling to the Tea house,Tea house
I'm strolling to the Ice cream parlor,Ice cream parlor
I'm strolling to the Bakery,Bakery
I'm strolling to the Farmers' market,Farmers' market
I'm strolling to the Campground,Campground
I'm strolling to the Campsite,Campsite
I'm strolling to the Ski resort,Ski resort
I'm strolling to the Beach resort,Beach resort
I'm strolling to the Safari park,Safari park
I'm strolling to the Sculpture park,Sculpture park
I'm strolling to the University,University
I'm strolling to the College,College
I'm strolling to the Kindergarten,Kindergarten
I'm strolling to the Daycare,Daycare
I'm strolling to the Factory,Factory
I'm strolling to the Lab,Lab
I'm strolling to the Radio station,Radio station
I'm strolling to the Television studio,Television studio
I'm strolling to the Office building,Office building
I'm strolling to the Observatory,Observatory
I'm strolling to the Underwater cave,Underwater cave
I'm strolling to the Haunted house,Haunted house
I'm strolling to the Winery,Winery
I'm strolling to the Microbrewery,Microbrewery
I'm strolling to the Planet,Planet
I'm strolling to the Moon,Moon
I'm strolling to the Sun,Sun
I'm strolling to the Jupiter,Jupiter
I'm strolling to the Forest,Forest
I'm strolling to the Cabin,Cabin
I'm strolling to the Rainforest,Rainforest
I'm strolling to the Jungle,Jungle
I'm strolling to the Wetland,Wetland
I'm strolling to the Volcano,Volcano
I'm proceeding to the Park,Park
I'm proceeding to the Beach,Beach
I'm proceeding to the Library,Library
I'm proceeding to the Museum,Museum
I'm proceeding to the Restaurant,Restaurant
I'm proceeding to the Cafe,Cafe
I'm proceeding to the Movie theater,Movie theater
I'm proceeding to the Shopping mall,Shopping mall
I'm proceeding to the Gym,Gym
I'm proceeding to the School,School
I'm proceeding to the Office,Office
I'm proceeding to the Zoo,Zoo
I'm proceeding to the Concert hall,Concert hall
I'm proceeding to the Art gallery,Art gallery
I'm proceeding to the Stadium,Stadium
I'm proceeding to the Hospital,Hospital
I'm proceeding to the Farm,Farm
I'm proceeding to the Farm market,Farm market
I'm proceeding to the Amusement park,Amusement park
I'm proceeding to the Spa,Spa
I'm proceeding to the Mountain,Mountain
I'm proceeding to the Lake,Lake
I'm proceeding to the River,River
I'm proceeding to the Forest,Forest
I'm proceeding to the Jungle,Jungle
I'm proceeding to the Desert,Desert
I'm proceeding to the Countryside,Countryside
I'm proceeding to the City,City
I'm proceeding to the Suburb,Suburb
I'm proceeding to the Village,Village
I'm proceeding to the Town,Town
I'm proceeding to the Island,Island
I'm proceeding to the Skyscraper,Skyscraper
I'm proceeding to the Cinema,Cinema
I'm proceeding to the Bookstore,Bookstore
I'm proceeding to the Factory,Factory
I'm proceeding to the Workshop,Workshop
I'm proceeding to the Studio,Studio
I'm proceeding to the Garden,Garden
I'm proceeding to the Orchard,Orchard
I'm proceeding to the Vineyard,Vineyard
I'm proceeding to the Cemetery,Cemetery
I'm proceeding to the Castle,Castle
I'm proceeding to the Historical site,Historical site
I'm proceeding to the Cave,Cave
I'm proceeding to the Lighthouse,Lighthouse
I'm proceeding to the Waterfall,Waterfall
I'm proceeding to the Cruise ship,Cruise ship
I'm proceeding to the Train station,Train station
I'm proceeding to the Airport,Airport
I'm proceeding to the Space station,Space station
I'm proceeding to the Underground,Underground
I'm proceeding to the Planetarium,Planetarium
I'm proceeding to the Carnival,Carnival
I'm proceeding to the Circus,Circus
I'm proceeding to the Wildlife sanctuary,Wildlife sanctuary
I'm proceeding to the Aquarium,Aquarium
I'm proceeding to the Botanical garden,Botanical garden
I'm proceeding to the Coffee shop,Coffee shop
